dataset,accession_or_source_id,domain,n_cells,n_genes,disk_mb,benchmark_filename,classification,curated_columns,proxy_columns,time_columns,n_obs_cols,species_inferred,species_inference_basis,tissue_family_inferred,tissue_inference_basis,platform,cluster_count,units,qc_normalization,metadata_status,public_data_access_note,public_release_scope,c8_status
GSE247719_PanSci_T_cell_adata,GSE247719,development,957975,55416,1880.9,GSE247719_PanSci_T_cell_adata.h5ad,curated,Immune_subtype(18),,Age_group,16,unknown,manual_review_required,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE247719_PanSci_05_Muscle_adata,GSE247719,development,696410,55416,1806.0,GSE247719_PanSci_05_Muscle_adata.h5ad,curated,Lineage(7),,Age_group,16,unknown,manual_review_required,muscle,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE262288_breastMetasisHmCancer,GSE262288,cancer,157518,31915,2065.2,GSE262288_breastMetasisHmCancer.h5ad,none,,,,1,human,inferred_from_dataset_name_token,breast,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE222369_NKsLymphomaHmCancer,GSE222369,cancer,138805,36601,2637.1,GSE222369_NKsLymphomaHmCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE235787_bcellsALLHmCancer,GSE235787,cancer,113495,18082,2293.4,GSE235787_bcellsALLHmCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE189070_astrocytesSCIMmDev,GSE189070,development,103446,27999,1381.3,GSE189070_astrocytesSCIMmDev.h5ad,none,,,,1,mouse,inferred_from_dataset_name_token,brain_neural,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE253355_bmNicheHm,GSE253355,development,99846,33538,2154.7,GSE253355_bmNicheHm.h5ad,none,,,,0,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
bm_GSE120446,GSE120446,development,90653,33694,725.3,bm_GSE120446.h5ad,none,,,,2,unknown,manual_review_required,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE225600_breast_CancerHm,GSE225600,cancer,81683,36601,809.5,GSE225600_breast_CancerHm.h5ad,none,,,,0,human,inferred_from_dataset_name_token,breast,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE222002_TcellsHmCancer,GSE222002,cancer,78315,32285,1400.6,GSE222002_TcellsHmCancer.h5ad,none,,,,1,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
